gen1_ID,MID,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,test_date,test_temp,test_age,rand
1143,335,8.26.21,9.21.21,,PK,M,N,Y,9/21/21,,,0.112202155
1144,335,8.19.21,9.22.21,,PK,M,N,Y,9/22/21,,,0.301531517
1145,335,8.19.21,9.21.21,,PK,F,N,Y,9/21/21,,,0.53865693
1146,335,8.19.21,9.21.21,,PK,M,N,Y,9/21/21,,,0.513982107
1147,335,8.19.21,9.21.21,,PK,M,N,Y,9/21/21,,,0.823225863
1148,335,8.19.21,10.01.21,,PK,F,Y,Y,10/01/21,,,0.695232806
1149,335,8.19.21,9.21.21,,PK,F,Y,Y,9/21/21,,,0.520636764
1150,335,8.19.21,,9.23.21,PK,,,Y,,,,0.055583341
1151,335,8.19.21,,,PK,,,N,,,,0.552849388
1152,335,8.27.21,,,PK,,,N,,,,0.679955857
1153,335,,,,PK,,,N,,,,0.368458668
1154,335,,,,PK,,,N,,,,0.190237634
1155,335,,,,PK,,,N,,,,0.301250026
1156,335,hatch_date,,,PK,,,N,,,,0.562754111
1157,335,,,,PK,,,N,,,,0.586074724
1158,335,,,,PK,,,N,,,,0.066970357
1159,329,,9.28.21,,PK,M,N,Y,9/28/21,,,0.570321668
1160,329,,,8.31.21,PK,,,Y,,,,0.327793717
1161,329,,9.25.21,,PK,F,N,Y,9/25/21,,,0.914768291
1162,329,8.30.21,9.29.21,,PK,F,Y,Y,9/29/21,,,0.305121725
1163,329,8.29.21,9.24.21,,PK,F,Y,Y,9/24/21,,,0.762505222
1164,329,8.30.21,9.27.21,,PK,F,Y,Y,9/27/21,,,0.086244236
1165,329,8.29.21,9.28.21,,PK,F,Y,Y,9/28/21,,,0.740158965
1166,329,8.30.21,9.27.21,,PK,M,Y,Y,9/27/21,,,0.743158533
1167,329,8.30.21,,,PK,,,Y,,,,0.155774015
1168,329,8.30.21,9.26.21,,PK,F,N,Y,9/26/21,,,0.58908731
1169,329,8.30.21,9.26.21,,PK,F,N,Y,9/26/21,,,0.563798487
1170,329,8.29.21,9.27.21,,PK,F,Y,Y,9/27/21,,,0.783618321
1171,329,8.30.21,,9.21.21,PK,,,Y,,,,0.674519588
1172,329,8.30.21,9.22.21,,PK,F,Y,Y,9/22/21,,,0.752364411
1173,92,8.31.21,,?,GV,,,,,,,0.222688835
1174,92,,,?,GV,,,,,,,0.681997658
1175,92,8.29.21,,?,GV,,,,,,,0.818705168
1176,92,8.26.21,,?,GV,,,,,,,0.833971495
1177,92,8.27.21,,?,GV,,,,,,,0.028235978
