gen1_ID,MID,hatch_date,wing_date,pop,sex,S.wing,viable,test_date,test_temp,test_age,rand,cohort
1318,16,9.2.21,9.28.21,KL,M,N,Y,9/28/21,NA,NA,0.41365258,3
1319,16,9.8.21,9.28.21,KL,M,N,Y,9/28/21,NA,NA,0.514266609,3
1322,16,9.2.21,9.29.21,KL,M,N,Y,9/29/21,NA,NA,0.57663346,3
1346,118,9.8.21,9.29.21,KL,M,N,Y,9/29/21,NA,NA,0.042024939,3
1352,118,9.1.21,9.29.21,KL,M,N,Y,9/29/21,NA,NA,0.498099707,3
1353,118,9.9.21,9.28.21,KL,F,N,Y,9/28/21,NA,NA,0.250697857,3
1354,118,9.8.21,9.29.21,KL,M,Y,Y,9/29/21,NA,NA,0.167038429,3
1356,118,9.9.21,9.29.21,KL,F,N,Y,9/29/21,NA,NA,0.958386268,3
1360,118,9.2.21,9.29.21,KL,M,N,Y,9/29/21,NA,NA,0.208604709,3
1362,118,8.31.21,9.28.21,KL,F,Y,Y,9/28/21,NA,NA,0.672902909,3
1368,118,9.8.21,9.28.21,KL,F,Y,Y,9/28/21,NA,NA,0.03630893,3
1370,118,9.8.21,9.28.21,KL,M,Y,Y,9/28/21,NA,NA,0.245700619,3
1378,118,,9.28.21,KL,F,Y,Y,9/28/21,NA,NA,0.718948944,3
1386,119,,9.28.21,KL,M,N,Y,9/28/21,NA,NA,0.497705101,3
1398,329,9.8.21,9.28.21,PK,M,N,Y,9/28/21,NA,NA,0.299705499,3
1401,329,9.2.21,9.28.21,PK,F,N,Y,9/28/21,NA,NA,0.441099747,3
1411,329,8.30.21,9.28.21,PK,M,N,Y,9/28/21,NA,NA,0.951783901,3
1412,329,9.1.21,9.28.21,PK,M,Y,Y,9/28/21,NA,NA,0.248429993,3
1428,329,,9.28.21,PK,M,N,Y,9/28/21,NA,NA,0.09577579,3
1468,329,hatch_date,10.01.21,PK,M,N,Y,10/1/21,NA,NA,0.339307141,3
1478,329,9.9.21,10.01.21,PK,M,N,Y,10/1/21,NA,NA,0.394131454,3
1517,329,,10.01.21,PK,M,N,Y,10/1/21,NA,NA,0.382969949,3
1546,329,9.9.21,10.01.21,PK,F,N,Y,10/1/21,NA,NA,0.205838785,3
1548,329,9.10.21,9.30.21,PK,F,N,Y,9/30/21,NA,NA,0.913149821,3
1552,329,9.8.21,9.30.21,PK,M,N,Y,9/30/21,NA,NA,0.365372065,3
1560,16,9.8.21,10.01.21,KL,M,N,Y,10/1/21,NA,NA,0.648924658,3
1057,16,8.29.21,10.04.21,KL,F,Y,Y,10/4/21,NA,NA,0.1560372,4
1082,118,8.27.21,10.04.21,KL,F,Y,Y,10/4/21,NA,NA,0.759964911,4
1111,114,8.29.21,10.04.21,KL,F,N,Y,10/4/21,NA,NA,0.379947297,4
1125,114,8.27.21,10.04.21,KL,M,N,Y,10/4/21,NA,NA,0.084620662,4
1236,114,9.8.21,10.04.21,KL,M,N,Y,10/4/21,NA,NA,0.66544831,4
1237,114,9.1.21,10.04.21,KL,M,N,,10/4/21,NA,NA,0.864661083,4
1252,114,,10.04.21,KL,F,N,Y,10/4/21,NA,NA,0.986488749,4
1260,16,hatch_date,10.04.21,KL,M,N,Y,10/4/21,NA,NA,0.374659797,4
1282,16,9.8.21,10.04.21,KL,M,Y,Y,10/4/21,NA,NA,0.394719171,4
1284,16,9.8.21,10.04.21,KL,M,N,Y,10/4/21,NA,NA,0.486275445,4
1292,16,9.1.21,10.04.21,KL,M,N,Y,10/4/21,NA,NA,0.95173721,4
1311,16,9.8.21,10.05.21,KL,F,N,Y,10/5/21,NA,NA,0.237131035,4
1315,16,9.8.21,10.04.21,KL,M,N,Y,10/4/21,NA,NA,0.111203726,4
1365,118,9.8.21,10.06.21,KL,M,N,Y,10/6/21,NA,NA,0.230012931,4
1366,118,9.1.21,10.04.21,KL,F,Y,Y,10/4/21,NA,NA,0.992902343,4
1375,118,8.31.21,10.06.21,KL,M,Y,Y,10/6/21,NA,NA,0.774839469,4
1376,118,9.8.21,10.06.21,KL,F,Y,Y,10/6/21,NA,NA,0.000348186,4
1383,119,9.9.21,10.04.21,KL,F,N,Y,10/4/21,NA,NA,0.780633215,4
1387,119,8.30.21,10.04.21,KL,M,Y,Y,10/4/21,NA,NA,0.993556875,4
1407,329,8.31.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.419989139,4
1408,329,8.30.21,10.05.21,PK,F,Y,Y,10/5/21,NA,NA,0.753791889,4
