gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1238,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1239,114,8.25.21,,,,KL,,,N,,
1240,114,8.25.21,8.30.21,9.28.21,,KL,M,N,Y,,
1241,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1242,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1243,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1244,114,8.25.21,9.2.21,9.27.21,,KL,F,N,Y,,
1245,114,8.25.21,8.30.21,,9.11.21,KL,,,Y,,
1246,114,8.25.21,,,,KL,,,,,
1247,114,8.25.21,,,,KL,,,,,
1248,114,8.25.21,,,,KL,,,,,
1249,114,8.25.21,8.30.21,9.28.21,,KL,M,N,Y,,
1250,114,8.25.21,9.9.21,,9.11.21,KL,,,Y,,
1251,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1252,114,8.25.21,8.30.21,10.04.21,,KL,F,N,Y,10.2-10.4,
1253,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1254,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1255,16,8.27.21,9.1.21,9.25.21,,KL,F,N,Y,,
gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1256,16,8.27.21,8.29.21,9.25.21,,KL,M,N,Y,,
1257,16,8.27.21,9..21,9.28.21,,KL,M,Y,Y,,
1258,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1259,16,8.27.21,8.31.21,9.28.21,,KL,F,Y,Y,,
1260,16,8.27.21,8.30.21,10.04.21,,KL,M,N,Y,10.2-10.4,
1261,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1262,16,8.27.21,9.2.21,9.27.21,10.18.21,KL,F,N,Y,,
1263,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1264,16,8.27.21,8.30.21,,,KL,F,Y,Y,,
1265,16,8.27.21,8.29.21,9.25.21,,KL,F,Y,Y,,
1266,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1267,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1268,16,8.27.21,8.29.21,9.27.21,,KL,M,N,Y,,
1269,16,8.27.21,9.2.21,9.27.21,,KL,F,N,Y,,
1270,16,8.27.21,9.9.21,,?,KL,,,Y,died before 9.24.21,
1271,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
